corp_code,inventory,totalEquity,CofGS,totalDebt,CFfromO,accountReceivable,accountPayables,revenue
129350,29244732196,180300724631,48597817522,69163666302,7645877187,55861654562,26716532550,63261252639
159971,35506073881,218172141753,119288430454,535472144445,6527730841,96812072605,79570208351,144779715875
936787,113508116737,407900523561,263338879084,182252680783,-23154785026,77475581372,64201240616,306716892303
225706,16511983150,129571480652,29547252369,85083246091,11687943019,30433514079,10858917497,42427314085
400121,1834066625,10625574858,14949370766,30466489104,-2042363631,5628080694,3683122359,17162637463
414601,63880881240,248734561151,125292932738,156867392225,8968854805,80376313980,90806575415,139006930031
407814,10475855367,221198213528,3805475364,90872740783,-1126410745,7368708297,2766396940,6739323146
202060,24552300585,72881583606,51442616712,142041952316,5278400941,28844850303,27727865225,57347815446
260930,11904178254,636075943272,97210978123,504980204702,12349338389,122153432650,145308797003,154244767233
108940,1580301142,595243939124,280241317970,588950520911,40999949405,172026818064,183604250242,335684810363
135050,15016726955,107495139824,11684535353,58394278526,1238508954,19931526503,3553837542,24012535191
141477,87960807001,181849248985,104031149722,300532382347,-4253409051,98383426338,44354556740,109366276799
360036,23671752575,58232722985,32051594948,43935245794,-2048978703,22830175054,11010948442,41796283759
131692,157185030366,391573838074,128801927676,413131702295,24309092783,111008582385,23913836740,163839064496
122737,78663000000,2954581000000,611143000000,2172838000000,6759000000,135263000000,141810000000,679924000000
530556,14533910787,83536036341,9330174126,72620384442,6865450015,9513677108,6277434925,12345450986
925295,1181359813,55154820680,15754787297,63763851520,2224926588,4647547521,1134886288,15590314038
618410,22270715418,28537725747,5794729470,17006131517,-493311341,1907995678,4730856301,7295001400
390365,53719325985,182308978692,65764772756,92428366092,-10773000759,67299684348,24991000622,73099341994
165060,69639879469,332281988292,27744863001,36140175008,1369257345,41712334544,4973265914,37363065668
632304,148056141779,320273699968,102873234832,761298854691,30200360588,198469422780,48962886063,189566826955
138446,39818583569,129582964346,24004384150,55055438478,395031418,24364053961,8994404337,38547826024
201742,14374078256,114481497016,44181945182,25195602142,3947690145,21318750809,15822590367,47624522749
264228,708264335,44265237850,5915986840,11165892134,128411740,338793552,411202931,7393007007
124726,80862859287,578378561627,173592930887,205754947470,-15836995029,81988468045,69272913134,233883025178
204226,33866375,46126400489,12651132976,17889419563,-6261951937,12604409549,7346608195,17066108477
132211,48056983198,206907588919,95940696069,303390685883,-12157231249,76193589500,47811775564,107125020364
138729,51591298615,659696494684,160626585732,263694245228,31817774589,132007635074,31152368291,218605179326
656021,2452959634,124482251204,8293629080,106683741122,-2838613443,8583149110,5605794361,32551302221
126478,1665134970300,3336424709116,1959751904344,8736728826239,-99974655936,412775202797,425255169884,1574630475421
